tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
30001     0.0495   -2.08656  -0.00915  -0.00554    0.0127    0.3997
 
tau_V = 2.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    19.3500   -1.80967  -0.28744  -0.27459    0.6323    0.7250
 1143    14.8800   -1.65310  -0.28265  -0.26453    0.6091    0.8071
 1286    12.1360   -1.54952  -0.27827  -0.25561    0.5886    0.8430
 1429    10.3340   -1.46857  -0.27359  -0.24672    0.5681    0.8713
 1571     9.0720   -1.40495  -0.27050  -0.23975    0.5520    0.8897
 1714     8.1480   -1.34464  -0.26782  -0.23288    0.5362    0.9125
 1857     7.4000   -1.30825  -0.26557  -0.22789    0.5247    0.9141
 2000     6.7580   -1.28368  -0.26156  -0.22213    0.5115    0.8955
 2143     6.2020   -1.26328  -0.25912  -0.21811    0.5022    0.8751
 2286     5.7140   -1.24644  -0.25515  -0.21296    0.4904    0.8567
 2429     5.2840   -1.22826  -0.25197  -0.20837    0.4798    0.8377
 2571     4.9040   -1.21352  -0.24807  -0.20342    0.4684    0.8153
 2714     4.5640   -1.20180  -0.24453  -0.19907    0.4584    0.7928
 2857     4.2660   -1.17075  -0.24108  -0.19280    0.4439    0.7939
 3000     4.0620   -1.15479  -0.23903  -0.18927    0.4358    0.7914
 3777     3.2200   -1.12215  -0.22352  -0.17187    0.3957    0.7219
 4755     2.4420   -1.07448  -0.20507  -0.15004    0.3455    0.6729
 5986     1.7600   -1.04209  -0.17873  -0.12298    0.2832    0.6151
 7536     1.2600   -1.04241  -0.14961  -0.09730    0.2240    0.5643
 9487     0.8600   -1.06284  -0.11741  -0.07076    0.1629    0.5288
11944     0.5440   -1.16630  -0.08350  -0.04901    0.1129    0.4839
15036     0.3320   -1.30863  -0.05525  -0.03167    0.0729    0.4527
18929     0.2220   -1.46575  -0.03855  -0.02261    0.0521    0.4340
23831     0.1500   -1.62890  -0.02681  -0.01609    0.0370    0.4177
30001     0.0660   -1.96836  -0.01215  -0.00738    0.0170    0.4018
 
tau_V = 2.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    24.1875   -1.87288  -0.29234  -0.28108    0.6472    0.7351
 1143    18.6000   -1.71055  -0.28778  -0.27168    0.6256    0.8199
 1286    15.1700   -1.61563  -0.28301  -0.26327    0.6062    0.8568
 1429    12.9175   -1.53059  -0.28015  -0.25642    0.5904    0.8932
 1571    11.3400   -1.46757  -0.27761  -0.25043    0.5766    0.9149
 1714    10.1850   -1.41113  -0.27449  -0.24388    0.5616    0.9389
 1857     9.2500   -1.37539  -0.27186  -0.23892    0.5501    0.9403
 2000     8.4475   -1.34900  -0.26906  -0.23435    0.5396    0.9253
 2143     7.7525   -1.33151  -0.26596  -0.23014    0.5299    0.9036
 2286     7.1425   -1.31215  -0.26277  -0.22564    0.5196    0.8859
 2429     6.6050   -1.29374  -0.26085  -0.22235    0.5120    0.8703
 2571     6.1300   -1.27809  -0.25775  -0.21817    0.5023    0.8488
 2714     5.7050   -1.26535  -0.25528  -0.21479    0.4946    0.8292
 2857     5.3325   -1.23368  -0.25224  -0.20912    0.4815    0.8332
 3000     5.0775   -1.21589  -0.25007  -0.20545    0.4731    0.8293
 3777     4.0250   -1.17682  -0.23836  -0.19100    0.4398    0.7641
 4755     3.0525   -1.11643  -0.22038  -0.16844    0.3879    0.7101
 5986     2.2000   -1.06452  -0.19717  -0.14190    0.3267    0.6516
 7536     1.5750   -1.04318  -0.16939  -0.11488    0.2645    0.5965
 9487     1.0750   -1.03952  -0.13602  -0.08491    0.1955    0.5511
11944     0.6800   -1.12073  -0.09907  -0.05960    0.1372    0.4997
15036     0.4150   -1.24480  -0.06690  -0.03899    0.0898    0.4627
18929     0.2775   -1.39187  -0.04716  -0.02796    0.0644    0.4404
23831     0.1875   -1.54794  -0.03304  -0.01997    0.0460    0.4220
30001     0.0825   -1.87858  -0.01511  -0.00920    0.0212    0.4037
 
tau_V = 3.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    29.0250   -1.92466  -0.29366  -0.28362    0.6531    0.7377
 1143    22.3200   -1.76031  -0.29025  -0.27578    0.6350    0.8269
 1286    18.2040   -1.65880  -0.28748  -0.26939    0.6203    0.8692
 1429    15.5010   -1.58577  -0.28372  -0.26258    0.6046    0.9059
 1571    13.6080   -1.52037  -0.28115  -0.25681    0.5913    0.9280
 1714    12.2220   -1.46318  -0.27878  -0.25127    0.5786    0.9565
 1857    11.1000   -1.42630  -0.27780  -0.24800    0.5710    0.9638
 2000    10.1370   -1.40257  -0.27415  -0.24298    0.5595    0.9459
 2143     9.3030   -1.38573  -0.27186  -0.23967    0.5519    0.9269
 2286     8.5710   -1.36673  -0.26954  -0.23614    0.5437    0.9103
 2429     7.9260   -1.34503  -0.26669  -0.23186    0.5339    0.8915
 2571     7.3560   -1.33336  -0.26340  -0.22792    0.5248    0.8705
 2714     6.8460   -1.32029  -0.26175  -0.22536    0.5189    0.8524
 2857     6.3990   -1.28764  -0.25947  -0.22057    0.5079    0.8588
 3000     6.0930   -1.27103  -0.25752  -0.21734    0.5004    0.8560
 3777     4.8300   -1.22863  -0.24697  -0.20388    0.4694    0.7907
 4755     3.6630   -1.16039  -0.23218  -0.18374    0.4231    0.7417
 5986     2.6400   -1.09459  -0.21082  -0.15748    0.3626    0.6826
 7536     1.8900   -1.05599  -0.18489  -0.13006    0.2995    0.6241
 9487     1.2900   -1.03154  -0.15162  -0.09783    0.2253    0.5738
11944     0.8160   -1.09060  -0.11308  -0.06959    0.1602    0.5143
15036     0.4980   -1.19826  -0.07780  -0.04608    0.1061    0.4728
18929     0.3330   -1.33557  -0.05540  -0.03320    0.0764    0.4467
23831     0.2250   -1.48560  -0.03898  -0.02372    0.0546    0.4257
30001     0.0990   -1.80635  -0.01803  -0.01101    0.0254    0.4060
 
tau_V = 3.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    33.8625   -1.95876  -0.29527  -0.28594    0.6584    0.7406
 1143    26.0400   -1.79968  -0.29226  -0.27897    0.6424    0.8322
 1286    21.2380   -1.70546  -0.28679  -0.27053    0.6229    0.8691
 1429    18.0845   -1.61899  -0.28810  -0.26829    0.6178    0.9191
 1571    15.8760   -1.56054  -0.28421  -0.26181    0.6028    0.9391
 1714    14.2590   -1.50517  -0.28161  -0.25640    0.5904    0.9679
 1857    12.9500   -1.46686  -0.28068  -0.25327    0.5832    0.9742
 2000    11.8265   -1.44224  -0.27798  -0.24920    0.5738    0.9623
 2143    10.8535   -1.42481  -0.27565  -0.24589    0.5662    0.9408
 2286     9.9995   -1.40651  -0.27387  -0.24300    0.5595    0.9265
 2429     9.2470   -1.39457  -0.27198  -0.24041    0.5536    0.9121
 2571     8.5820   -1.37966  -0.26902  -0.23660    0.5448    0.8905
 2714     7.9870   -1.36537  -0.26721  -0.23388    0.5385    0.8713
 2857     7.4655   -1.33103  -0.26482  -0.22905    0.5274    0.8780
 3000     7.1085   -1.31599  -0.26269  -0.22588    0.5201    0.8749
 3777     5.6350   -1.27014  -0.25434  -0.21436    0.4936    0.8139
 4755     4.2735   -1.19944  -0.24084  -0.19552    0.4502    0.7671
 5986     3.0800   -1.12544  -0.22104  -0.17003    0.3915    0.7066
 7536     2.2050   -1.07299  -0.19790  -0.14354    0.3305    0.6503
 9487     1.5050   -1.03009  -0.16556  -0.10995    0.2532    0.5974
11944     0.9520   -1.07184  -0.12567  -0.07910    0.1821    0.5292
15036     0.5810   -1.16322  -0.08776  -0.05271    0.1214    0.4814
18929     0.3885   -1.29133  -0.06326  -0.03830    0.0882    0.4529
23831     0.2625   -1.43418  -0.04488  -0.02751    0.0633    0.4303
30001     0.1155   -1.74666  -0.02089  -0.01280    0.0295    0.4078
 
tau_V = 4.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    38.7000   -1.99373  -0.29614  -0.28752    0.6620    0.7420
 1143    29.7600   -1.83751  -0.29305  -0.28082    0.6466    0.8335
 1286    24.2720   -1.73730  -0.29210  -0.27679    0.6373    0.8838
 1429    20.6680   -1.65687  -0.29007  -0.27179    0.6258    0.9266
 1571    18.1440   -1.60045  -0.28762  -0.26699    0.6148    0.9514
 1714    16.2960   -1.54051  -0.28606  -0.26254    0.6045    0.9844
 1857    14.8000   -1.50581  -0.28322  -0.25795    0.5940    0.9853
 2000    13.5160   -1.48068  -0.27965  -0.25313    0.5829    0.9701
 2143    12.4040   -1.46420  -0.27866  -0.25122    0.5785    0.9529
 2286    11.4280   -1.44527  -0.27684  -0.24833    0.5718    0.9384
 2429    10.5680   -1.43065  -0.27484  -0.24551    0.5653    0.9227
 2571     9.8080   -1.41575  -0.27276  -0.24259    0.5586    0.9035
 2714     9.1280   -1.40409  -0.27168  -0.24079    0.5544    0.8870
 2857     8.5320   -1.37091  -0.26970  -0.23659    0.5448    0.8949
 3000     8.1240   -1.35526  -0.26720  -0.23312    0.5368    0.8922
 3777     6.4400   -1.30977  -0.25999  -0.22290    0.5132    0.8333
 4755     4.8840   -1.23602  -0.24806  -0.20555    0.4733    0.7884
 5986     3.5200   -1.15674  -0.22922  -0.18072    0.4161    0.7272
 7536     2.5200   -1.09459  -0.20726  -0.15433    0.3553    0.6701
